Assembly instruction,Category,
VPACKUSWB,AVX512,
VPACKUSWB,AVX512,
VPACKUSWB,AVX512,
VPACKUSWB,AVX512,
VPACKUSWB,AVX512,
VPACKUSWB,AVX512,
VPADDB {evex},AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB {evex},AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB {evex},AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB {evex},AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDB,AVX512,
VPADDD,AVX512,
VPADDD,AVX512,
VPADDD,AVX512,
VPADDD {evex},AVX512,
VPADDD,AVX512,
VPADDD,AVX512,
VPADDD {evex},AVX512,
VPADDD,AVX512,
VPADDD,AVX512,
VPADDQ,AVX512,
VPADDQ,AVX512,
VPADDQ,AVX512,
VPADDQ {evex},AVX512,
VPADDQ,AVX512,
VPADDQ,AVX512,
VPADDQ {evex},AVX512,
VPADDQ,AVX512,
VPADDQ,AVX512,
VPADDSB {evex},AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB {evex},AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB {evex},AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB {evex},AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSB,AVX512,
VPADDSW {evex},AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW {evex},AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW {evex},AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW {evex},AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDSW,AVX512,
VPADDUSB {evex},AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB {evex},AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB {evex},AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB {evex},AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSB,AVX512,
VPADDUSW {evex},AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW {evex},AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW {evex},AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW {evex},AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDUSW,AVX512,
VPADDW {evex},AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW {evex},AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW {evex},AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW {evex},AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPADDW,AVX512,
VPALIGNR {evex},AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR {evex},AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR {evex},AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR {evex},AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPALIGNR,AVX512,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDD,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDND,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDNQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPANDQ,LOGICAL,
VPAVGB {evex},AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB {evex},AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB {evex},AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB {evex},AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGB,AVX512,
VPAVGW {evex},AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW {evex},AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW {evex},AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW {evex},AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPAVGW,AVX512,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMB,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMD,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMQ,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBLENDMW,BLEND,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
